Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       28     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >, __gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > > >(__gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >, __gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >) const
  0.00      0.00     0.00       28     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<Event*, std::vector<Event, std::allocator<Event> > >, __gnu_cxx::__ops::_Val_less_iter)
  0.00      0.00     0.00       28     0.00     0.00  long long const& std::forward<long long const&>(std::remove_reference<long long const&>::type&)
  0.00      0.00     0.00       26     0.00     0.00  Sum_BIT::node_add(int, long long)
  0.00      0.00     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >::operator--()
  0.00      0.00     0.00       24     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<long long, __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > > >(long long&, __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >) const
  0.00      0.00     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<Move const*, std::vector<Move, std::allocator<Move> > >::base() const
  0.00      0.00     0.00       16     0.00     0.00  Sum_BIT::range_node_add(int, int, int)
  0.00      0.00     0.00       16     0.00     0.00  std::vector<long long, std::allocator<long long> >::operator[](unsigned long) const
  0.00      0.00     0.00       16     0.00     0.00  std::vector<Move, std::allocator<Move> >::operator[](unsigned long)
  0.00      0.00     0.00       14     0.00     0.00  Sum_BIT::query(int) const
  0.00      0.00     0.00       14     0.00     0.00  std::vector<long long, std::allocator<long long> >::push_back(long long const&)
  0.00      0.00     0.00       12     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > > >(__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >) const
  0.00      0.00     0.00       12     0.00     0.00  bool __gnu_cxx::__ops::_Iter_equal_to_iter::operator()<__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > > >(__gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >, __gnu_cxx::__normal_iterator<long long*, std::vector<long long, std::allocator<long long> > >) const
  0.00      0.00     0.00       12     0.00     0.00  Event* std::__niter_base<Event*>(Event*)
